market,dollar_value_sold,fee
quickswap-2,861062.3936479271,3020.153217423627
uniswap-3,2.4265365709040735e+07,2592.3170728726004
quickswap-3,1.5659098645928282e+07,1214.3644243519354
pancakeswap-3,1.6743229822890645e+07,871.0766690999006
pancakeswap-stableswap,5.688957926093028e+06,456.07800686753274
dodo-1,3.0086327101442614e+06,422.63630922755317
sushiswap-1,133173.8662563181,391.7175305059894
hashflow-1,1.7370191822473938e+06,331.47989236323303
balancer-2,956380.8910882283,113.68777392156792
0x API-v4,250525.46822358537,52.51989999452339
trader_joe-2.1,248307.69688419488,33.56681835195051
biswap-3,91238.27592878205,19.790436407537563
clipper-2,47614.29143904727,15.4955455722877
iziswap-1,24553.12147655979,13.468491164126174
gmx-1,10691.195163093444,1.4357139135244252
thena-fusion,2.8189946283159168e+06,1.3864320954925242
maverick-1,833510.2792084042,1.3357541853190504
apeswap-1,0.30956877340576666,0.10493147973537374
dodo-2_dvm,0.06145580467815526,0.00017546949187247424
honeyswap-2,58.70863966678601,-0.24073760101700364
trader_joe-2,7048.876497463352,-1.0986165480929553
ellipsis_finance-1,284831.59250285546,-10.090936600470329
babyswap-1,45045.611313513255,-191.03595614801316
wombat-1,1.037919715593294e+07,-223.24373286548894
dodo-2_dpp,2.32734694304489e+07,-500.28672420020064
mdex-1,296225.3833186197,-1823.5592841394894
biswap-2,1.0132760122927473e+06,-2086.0609379865155
thena-1,2.4804548253781353e+06,-2525.1121310454896
pancakeswap-2,2.312631321989561e+06,-7391.597231662217
clipper-4,<nil>,<nil>
swapr-1,<nil>,<nil>
pancakeswap-mmpool,<nil>,<nil>
carbon_defi-1,<nil>,<nil>
rubicon-1,<nil>,<nil>
verse_dex-1,<nil>,<nil>
kyberswap-elastic,<nil>,<nil>
uniswap-2,<nil>,<nil>
curve-Factory V1 Meta,<nil>,<nil>
defiswap-1,<nil>,<nil>
curve-Regular,<nil>,<nil>
airswap-swap_erc20_v4,<nil>,<nil>
airswap-swap_v3,<nil>,<nil>
shibaswap-1,<nil>,<nil>
camelot-1,<nil>,<nil>
kyberswap-classic,<nil>,<nil>
mstable-masset,<nil>,<nil>
integral-size,<nil>,<nil>
clipper-3,<nil>,<nil>
bancor-3,<nil>,<nil>
kyberswap-dmm,<nil>,<nil>
