token_pair,total_volume
USDC-WETH           ,1.5202024632212823e+11
USDC-USDT           ,1.1064659736764726e+11
USDT-WETH           ,4.4254441686236336e+10
USDC.e-WETH         ,3.528533659101624e+10
WBTC-WETH           ,2.7219009974967445e+10
DAI-USDT            ,1.7307189077907566e+10
DAI-USDC            ,1.3956791213969166e+10
USDT-WBNB           ,1.3804619646259506e+10
BUSD-USDT           ,1.1166299661989323e+10
USDC-WMATIC         ,9.48756281639836e+09
ARB-WETH            ,9.305015368895908e+09
WETH-wstETH         ,8.516910792004497e+09
DAI-WETH            ,6.684695742613175e+09
BUSD-WBNB           ,6.072718385128435e+09
bb-a-USDC-bb-a-USDT ,6.065774004403285e+09
USDC.e-USDT         ,5.745385724815147e+09
PEPE-WETH           ,5.617652327693519e+09
ARB-USDC.e          ,4.576379422931707e+09
BUSD-USDC           ,4.464501379739211e+09
bb-a-DAI-bb-a-USDC  ,4.1924357551060376e+09
